"","Journal","PaperCount","MinYear","MaxYear","AuthorCount"
"1","American Midland Naturalist",5715,1945,2022,8101
"2","American Naturalist",11467,1900,2023,11970
"3","Annals Of Human Genetics",3735,1954,2023,10141
"4","Biodemography And Social Biology",221,2009,2023,660
"5","Copeia",8365,1945,2020,8428
"6","Ecology",17704,1920,2023,28116
"7","Eugenics journals",5130,1909,1968,1462
"8","Evolution",11229,1947,2023,14934
"9","Genetics",26455,1916,2023,40543
"10","Journal Of Biosocial Science",3286,1969,2023,4824
"11","Molecular Biology And Evolution",8154,1983,2023,22290
"12","Molecular Phylogenetics And Evolution",7211,1992,2023,17445
"13","Social Biology",1401,1969,2005,1510
"14","Systematic Biology",3589,1952,2023,5367
"15","Systematic Botany",3019,1977,2023,4247
"16","Trends In Ecology And Evolution",5415,1986,2023,8978
